true \ pred,alto,avanzar,bajar,derecha,inicio,izquierda,retroceder,soltar,subir,tomar
alto,93,1,2,0,0,0,0,0,0,0
avanzar,0,82,9,2,0,0,2,1,0,0
bajar,5,2,66,0,0,0,0,1,0,22
derecha,2,5,2,72,1,3,7,3,0,1
inicio,0,0,0,0,86,10,0,0,0,0
izquierda,0,0,0,1,0,95,0,0,0,0
retroceder,0,3,0,1,0,0,92,0,0,0
soltar,0,0,4,0,0,0,1,83,0,8
subir,0,0,0,0,0,0,0,2,94,0
tomar,0,0,17,0,0,0,0,3,0,76
