true \ pred,alto,avanzar,derecha,inicio,izquierda,retroceder
alto,56,6,0,0,0,34
avanzar,2,74,0,0,0,20
derecha,0,0,70,0,15,11
inicio,1,0,0,76,19,0
izquierda,0,0,0,0,95,1
retroceder,0,2,0,0,0,94
